node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDK1	CKS1B	4446389	4438654	9606.ENSP00000378699	9606.ENSP00000311083	0	0	0	0	0.98	0.989	0.54	0.589	0.999
MRPS22	DAP3	4448944	4443086	9606.ENSP00000418008	9606.ENSP00000357320	0	0	0	0	0.185	0.982	0.9	0.674	0.999
E2F1	RB1	4441534	4435747	9606.ENSP00000345571	9606.ENSP00000267163	0	0	0	0	0.145	0.974	0.9	0.841	0.999
NUP133	NUP85	4434869	4433937	9606.ENSP00000261396	9606.ENSP00000245544	0	0	0	0	0.295	0.901	0.9	0.944	0.999
MRPL17	MRPL15	4436789	4434745	9606.ENSP00000288937	9606.ENSP00000260102	0.219	0	0	0	0.878	0.943	0.9	0.308	0.999
MRPL19	MRPL9	4446201	4443200	9606.ENSP00000377486	9606.ENSP00000357823	0	0	0	0	0.698	0.989	0.9	0.386	0.999
MRPS2	MRPS23	4443812	4439340	9606.ENSP00000360850	9606.ENSP00000320184	0	0	0	0	0.204	0.996	0.9	0	0.999
MRPL13	MRPS9	4438233	4434635	9606.ENSP00000306548	9606.ENSP00000258455	0.219	0	0	0	0.826	0.985	0.9	0.442	0.999
MRPL47	MRPL4	4448914	4434282	9606.ENSP00000417602	9606.ENSP00000253099	0	0	0	0	0.867	0.976	0.9	0.791	0.999
MRPL15	MRPL4	4434745	4434282	9606.ENSP00000260102	9606.ENSP00000253099	0.135	0	0	0	0.765	0.995	0.9	0.209	0.999
CDC45	MCM5	4448376	4432914	9606.ENSP00000405726	9606.ENSP00000216122	0	0	0	0	0.942	0.8	0.9	0.886	0.999
CDC45	ORC1	4448376	4443772	9606.ENSP00000405726	9606.ENSP00000360623	0	0	0	0	0.869	0.983	0.9	0.758	0.999
CAMK2B	CAMK2D	4446447	4440982	9606.ENSP00000379098	9606.ENSP00000339740	0	0	0	0.979	0	0.99	0.9	0.387	0.999
RBPJ	NOTCH1	4441499	4436260	9606.ENSP00000345206	9606.ENSP00000277541	0	0	0	0	0.069	0.961	0.9	0.958	0.999
MRPS6	MRPL17	4446909	4436789	9606.ENSP00000382250	9606.ENSP00000288937	0	0	0	0	0.725	0.944	0.9	0.563	0.999
E2F2	RB1	4442638	4435747	9606.ENSP00000355249	9606.ENSP00000267163	0	0	0	0	0.145	0.972	0.9	0.823	0.999
TRA2B	SRSF1	4448854	4434667	9606.ENSP00000416959	9606.ENSP00000258962	0	0	0.204	0	0.955	0.95	0.9	0.789	0.999
MRPL2	MRPL13	4445791	4438233	9606.ENSP00000373404	9606.ENSP00000306548	0.167	0	0	0	0.558	0.99	0.9	0.222	0.999
CCND2	CDK4	4434845	4434582	9606.ENSP00000261254	9606.ENSP00000257904	0	0	0	0	0.064	0.918	0.9	0.933	0.999
MRPL46	MRPL17	4438774	4436789	9606.ENSP00000312311	9606.ENSP00000288937	0	0	0	0	0.865	0.943	0.9	0	0.999
CDC20	CCNB2	4443940	4436767	9606.ENSP00000361540	9606.ENSP00000288207	0	0	0	0	0.989	0.71	0.9	0.829	0.999
MLST8	MAPKAP1	4450538	4435663	9606.ENSP00000456405	9606.ENSP00000265960	0	0	0	0	0.057	0.975	0.9	0.917	0.999
ICT1	MRPL3	4437774	4435531	9606.ENSP00000301585	9606.ENSP00000264995	0	0	0	0	0.367	0.982	0.9	0.311	0.999
MCM3	MCM7	4451546	4438312	9606.ENSP00000480987	9606.ENSP00000307288	0	0	0.22	0.78	0.996	0.998	0.9	0.945	0.999
MRPL3	MRPL4	4435531	4434282	9606.ENSP00000264995	9606.ENSP00000253099	0.11	0	0	0	0.856	0.992	0.9	0.448	0.999
CCNA2	CDK2	4436109	4435732	9606.ENSP00000274026	9606.ENSP00000266970	0	0.006	0	0	0.403	0.998	0.9	0.973	0.999
VAV1	SYK	4451047	4444619	9606.ENSP00000472929	9606.ENSP00000364907	0	0	0	0	0.179	0.964	0.9	0.846	0.999
SKP2	SKP1	4436120	4433537	9606.ENSP00000274255	9606.ENSP00000231487	0	0	0	0	0.061	0.971	0.9	0.864	0.999
MRPL1	MRPL27	4438965	4433347	9606.ENSP00000315017	9606.ENSP00000225969	0.186	0	0	0	0.822	0.94	0.9	0.308	0.999
MRPL36	MRPS16	4449248	4444061	9606.ENSP00000423399	9606.ENSP00000362036	0.133	0	0	0	0.685	0.945	0.9	0.549	0.999
MRPL46	MRPL4	4438774	4434282	9606.ENSP00000312311	9606.ENSP00000253099	0	0	0	0	0.855	0.985	0.9	0	0.999
MRPS16	MRPL17	4444061	4436789	9606.ENSP00000362036	9606.ENSP00000288937	0.264	0	0	0	0.783	0.944	0.9	0.386	0.999
CCND3	CDKN1B	4444072	4433436	9606.ENSP00000362082	9606.ENSP00000228872	0	0	0	0	0.061	0.993	0.9	0.713	0.999
MRPS16	MRPL27	4444061	4433347	9606.ENSP00000362036	9606.ENSP00000225969	0.29	0	0	0	0.842	0.944	0.9	0.386	0.999
CCNA2	CDK6	4436109	4435642	9606.ENSP00000274026	9606.ENSP00000265734	0	0.003	0	0	0.163	0.994	0.72	0.769	0.999
HNRNPA1	SRSF1	4441190	4434667	9606.ENSP00000341826	9606.ENSP00000258962	0	0	0.297	0	0.953	0.427	0.9	0.858	0.999
CDC7	MCM7	4447780	4438312	9606.ENSP00000393139	9606.ENSP00000307288	0	0	0	0	0.278	0.926	0.9	0.94	0.999
MRPS16	MRPS10	4444061	4432631	9606.ENSP00000362036	9606.ENSP00000053468	0.044	0	0	0	0.734	0.955	0.9	0.566	0.999
MRPS6	MRPL9	4446909	4443200	9606.ENSP00000382250	9606.ENSP00000357823	0.295	0	0	0	0.661	0.944	0.9	0.386	0.999
MRPL21	MRPL24	4442495	4442484	9606.ENSP00000354580	9606.ENSP00000354525	0.044	0	0	0	0.689	0.989	0.9	0.228	0.999
MRPL21	MRPL11	4442495	4438456	9606.ENSP00000354580	9606.ENSP00000308897	0.06	0	0	0	0.596	0.943	0.9	0.619	0.999
MRPS16	MRPL32	4444061	4433279	9606.ENSP00000362036	9606.ENSP00000223324	0.295	0	0	0	0.835	0.944	0.9	0.386	0.999
TRA2B	HNRNPA1	4448854	4441190	9606.ENSP00000416959	9606.ENSP00000341826	0	0	0.349	0.591	0.979	0.696	0.9	0.608	0.999
FKBP1B	RYR2	4445480	4442696	9606.ENSP00000370373	9606.ENSP00000355533	0	0	0	0	0.061	0.916	0.9	0.954	0.999
MRPL11	MRPL15	4438456	4434745	9606.ENSP00000308897	9606.ENSP00000260102	0.167	0	0	0	0.523	0.989	0.9	0.222	0.999
CDT1	MCM5	4437709	4432914	9606.ENSP00000301019	9606.ENSP00000216122	0	0	0	0	0.955	0.185	0.9	0.853	0.999
CDC45	MCM7	4448376	4438312	9606.ENSP00000405726	9606.ENSP00000307288	0	0	0	0	0.919	0.977	0.9	0.963	0.999
MRPL24	MRPS10	4442484	4432631	9606.ENSP00000354525	9606.ENSP00000053468	0.135	0	0	0	0.464	0.979	0.9	0.2	0.999
CDK1	CDC25C	4446389	4439463	9606.ENSP00000378699	9606.ENSP00000321656	0	0	0	0	0.702	0.571	0.9	0.945	0.999
TRA2B	SRSF3	4448854	4444253	9606.ENSP00000416959	9606.ENSP00000362820	0	0	0	0	0.923	0.922	0.9	0.803	0.999
MRPL2	MRPL9	4445791	4443200	9606.ENSP00000373404	9606.ENSP00000357823	0.043	0	0	0	0.326	0.991	0.9	0.308	0.999
SNRPD2	SNRPD3	4441252	4432879	9606.ENSP00000342374	9606.ENSP00000215829	0	0	0	0	0.977	0.994	0.9	0.935	0.999
CTNND1	SRC	4446884	4444215	9606.ENSP00000382004	9606.ENSP00000362680	0	0	0	0	0.084	0.993	0.9	0.836	0.999
MRPL19	MRPL27	4446201	4433347	9606.ENSP00000377486	9606.ENSP00000225969	0.275	0	0	0	0.774	0.957	0.9	0.386	0.999
MRPL24	MRPL13	4442484	4438233	9606.ENSP00000354525	9606.ENSP00000306548	0.135	0	0	0	0.73	0.981	0.9	0.404	0.999
NUP93	NUP54	4438619	4435509	9606.ENSP00000310668	9606.ENSP00000264883	0	0	0	0	0.279	0.954	0.9	0.865	0.999
MRPL1	MRPL4	4438965	4434282	9606.ENSP00000315017	9606.ENSP00000253099	0.135	0	0	0	0.854	0.987	0.9	0.511	0.999
MRPL47	MRPS15	4448914	4444114	9606.ENSP00000417602	9606.ENSP00000362208	0	0	0	0	0.851	0.943	0.9	0.311	0.999
TRA2B	HNRNPA2B1	4448854	4441649	9606.ENSP00000416959	9606.ENSP00000346694	0	0	0.4	0	0.981	0	0.9	0.423	0.999
MRPS11	MRPS5	4439124	4436025	9606.ENSP00000317376	9606.ENSP00000272418	0.167	0	0	0	0.56	0.98	0.9	0.299	0.999
MRPS18A	MRPL28	4443886	4432772	9606.ENSP00000361206	9606.ENSP00000199706	0	0	0	0	0.683	0.942	0.9	0.536	0.999
MRPL21	MRPL3	4442495	4435531	9606.ENSP00000354580	9606.ENSP00000264995	0	0	0	0	0.717	0.943	0.9	0.757	0.999
MRPS5	MRPS10	4436025	4432631	9606.ENSP00000272418	9606.ENSP00000053468	0.167	0	0	0	0.549	0.991	0.9	0.618	0.999
MRPS2	MRPS5	4443812	4436025	9606.ENSP00000360850	9606.ENSP00000272418	0.078	0	0	0	0.468	0.991	0.9	0.233	0.999
FOXO3	SIRT1	4447277	4432849	9606.ENSP00000385824	9606.ENSP00000212015	0	0	0	0	0	0.827	0.9	0.963	0.999
MRPS5	MRPS7	4436025	4433935	9606.ENSP00000272418	9606.ENSP00000245539	0.167	0	0	0	0.552	0.98	0.9	0.527	0.999
TNNC2	TNNT3	4443965	4436281	9606.ENSP00000361636	9606.ENSP00000278317	0	0	0	0	0.911	0.7	0.9	0.731	0.999
DAP3	MRPL46	4443086	4438774	9606.ENSP00000357320	9606.ENSP00000312311	0	0	0	0	0.837	0.943	0.9	0	0.999
MRPL19	MRPL40	4446201	4440454	9606.ENSP00000377486	9606.ENSP00000333401	0	0	0	0	0.292	0.99	0.9	0	0.999
MCM3	ORC1	4451546	4443772	9606.ENSP00000480987	9606.ENSP00000360623	0.052	0	0	0	0.878	0.788	0.9	0.75	0.999
MRPL18	MRPL20	4442794	4441114	9606.ENSP00000356001	9606.ENSP00000341082	0	0	0	0	0.684	0.974	0.9	0	0.999
PTBP1	HNRNPL	4441922	4433154	9606.ENSP00000349428	9606.ENSP00000221419	0	0	0	0.671	0.951	0.816	0.9	0.793	0.999
BMP2	ACVR2B	4445120	4441037	9606.ENSP00000368104	9606.ENSP00000340361	0	0	0	0	0	0.97	0.9	0.739	0.999
NUP43	NUP85	4441241	4433937	9606.ENSP00000342262	9606.ENSP00000245544	0	0	0	0	0.166	0.957	0.9	0.939	0.999
HNRNPC	HNRNPA2B1	4450354	4441649	9606.ENSP00000451291	9606.ENSP00000346694	0	0	0	0	0.953	0	0.9	0.843	0.999
CDC5L	SNRPD2	4443756	4441252	9606.ENSP00000360532	9606.ENSP00000342374	0	0	0	0	0.133	0.99	0.9	0.244	0.999
AKT2	PDPK1	4445979	4441403	9606.ENSP00000375892	9606.ENSP00000344220	0	0	0.328	0.76	0.062	0.996	0.9	0.747	0.999
MRPL41	MRPL13	4443748	4438233	9606.ENSP00000360498	9606.ENSP00000306548	0	0	0	0	0.651	0.984	0.9	0.249	0.999
MRPL4	MRPL32	4434282	4433279	9606.ENSP00000253099	9606.ENSP00000223324	0.071	0	0	0	0.835	0.98	0.9	0.227	0.999
MRPS6	MRPS9	4446909	4434635	9606.ENSP00000382250	9606.ENSP00000258455	0	0	0	0	0.737	0.944	0.9	0.444	0.999
MRPL22	MRPL2	4449572	4445791	9606.ENSP00000431040	9606.ENSP00000373404	0.111	0	0	0	0.406	0.988	0.9	0.406	0.999
MRPS16	MRPS9	4444061	4434635	9606.ENSP00000362036	9606.ENSP00000258455	0.292	0	0	0	0.689	0.993	0.9	0.486	0.999
MRPL22	MRPL4	4449572	4434282	9606.ENSP00000431040	9606.ENSP00000253099	0.081	0	0	0	0.501	0.973	0.9	0.733	0.999
HNRNPC	HNRNPL	4450354	4433154	9606.ENSP00000451291	9606.ENSP00000221419	0	0	0	0	0.942	0.119	0.9	0.833	0.999
ATM	TP53	4436300	4435880	9606.ENSP00000278616	9606.ENSP00000269305	0	0	0	0	0	0.563	0.9	0.984	0.999
MRPS14	MRPS11	4449138	4439124	9606.ENSP00000420714	9606.ENSP00000317376	0.167	0	0	0	0.734	0.982	0.9	0.36	0.999
SNRPF	PRPF19	4435728	4433393	9606.ENSP00000266735	9606.ENSP00000227524	0	0	0	0	0.714	0.96	0.9	0.723	0.999
NUP93	NUP155	4438619	4433538	9606.ENSP00000310668	9606.ENSP00000231498	0	0	0	0	0.699	0.856	0.9	0.907	0.999
MRPS18C	MRPS5	4437158	4436025	9606.ENSP00000295491	9606.ENSP00000272418	0	0	0	0	0.356	0.985	0.9	0.348	0.999
NUP62	NUP88	4450981	4450610	9606.ENSP00000471191	9606.ENSP00000458954	0	0	0	0	0.188	0.982	0.9	0.855	0.999
MRPS15	MRPS2	4444114	4443812	9606.ENSP00000362208	9606.ENSP00000360850	0.111	0	0	0	0.446	0.985	0.9	0.261	0.999
MRPS18A	MRPS18B	4443886	4434730	9606.ENSP00000361206	9606.ENSP00000259873	0	0	0	0	0.168	0.854	0.9	0.931	0.999
DAP3	MRPL17	4443086	4436789	9606.ENSP00000357320	9606.ENSP00000288937	0	0	0	0	0.834	0.943	0.9	0.204	0.999
MRPL20	MRPL27	4441114	4433347	9606.ENSP00000341082	9606.ENSP00000225969	0	0	0	0	0.76	0.944	0.9	0.386	0.999
MRPL2	MRPL17	4445791	4436789	9606.ENSP00000373404	9606.ENSP00000288937	0.219	0	0	0	0.676	0.99	0.9	0.308	0.999
MRPL15	MRPL32	4434745	4433279	9606.ENSP00000260102	9606.ENSP00000223324	0.141	0	0	0	0.583	0.989	0.9	0.308	0.999
MRPL40	MRPL46	4440454	4438774	9606.ENSP00000333401	9606.ENSP00000312311	0	0	0	0	0.833	0.993	0.9	0	0.999
MRPL41	MRPL37	4443748	4442428	9606.ENSP00000360498	9606.ENSP00000354086	0	0	0	0	0.121	0.954	0.9	0.806	0.999
ORC1	ORC2	4443772	4433622	9606.ENSP00000360623	9606.ENSP00000234296	0	0	0	0	0.627	0.995	0.9	0.961	0.999
MCM3	MCM5	4451546	4432914	9606.ENSP00000480987	9606.ENSP00000216122	0	0	0.263	0.746	0.997	0.985	0.9	0.959	0.999
MRPL22	MRPL17	4449572	4436789	9606.ENSP00000431040	9606.ENSP00000288937	0.167	0	0	0	0.732	0.987	0.9	0.336	0.999
DBF4	MCM2	4435639	4435544	9606.ENSP00000265728	9606.ENSP00000265056	0	0	0	0	0.206	0.91	0.9	0.879	0.999
ZFYVE9	SMAD2	4436740	4435021	9606.ENSP00000287727	9606.ENSP00000262160	0	0	0	0	0.062	0.973	0.9	0.812	0.999
CDKN2A	CDK4	4448997	4434582	9606.ENSP00000418915	9606.ENSP00000257904	0	0	0	0	0	0.812	0.9	0.956	0.999
HNRNPH1	HNRNPA2B1	4441896	4441649	9606.ENSP00000349168	9606.ENSP00000346694	0	0	0	0	0.958	0.61	0.9	0.684	0.999
MRPL11	MRPL16	4438456	4437644	9606.ENSP00000308897	9606.ENSP00000300151	0.093	0	0	0	0.419	0.974	0.9	0.489	0.999
FKBP1A	MTOR	4446979	4442490	9606.ENSP00000383003	9606.ENSP00000354558	0	0	0	0	0	0.973	0.9	0.931	0.999
DAP3	MRPS18B	4443086	4434730	9606.ENSP00000357320	9606.ENSP00000259873	0	0	0	0	0.144	0.997	0.9	0.844	0.999
MRPS15	MRPS9	4444114	4434635	9606.ENSP00000362208	9606.ENSP00000258455	0.21	0	0	0	0.558	0.982	0.9	0.397	0.999
MRPS14	MRPS2	4449138	4443812	9606.ENSP00000420714	9606.ENSP00000360850	0.076	0	0	0	0.499	0.989	0.9	0.569	0.999
ORC1	CDT1	4443772	4437709	9606.ENSP00000360623	9606.ENSP00000301019	0	0	0	0	0.853	0.994	0.9	0.815	0.999
MRPL24	MRPL4	4442484	4434282	9606.ENSP00000354525	9606.ENSP00000253099	0.11	0	0	0	0.846	0.98	0.9	0.197	0.999
ORC1	CDC6	4443772	4432832	9606.ENSP00000360623	9606.ENSP00000209728	0	0	0	0.69	0.941	0.998	0.9	0.912	0.999
MRPL19	MRPL24	4446201	4442484	9606.ENSP00000377486	9606.ENSP00000354525	0	0	0	0	0.41	0.99	0.9	0.228	0.999
MRPL47	MRPL44	4448914	4434620	9606.ENSP00000417602	9606.ENSP00000258383	0	0	0	0	0.631	0.986	0.9	0.273	0.999
CUL1	SKP1	4439878	4433537	9606.ENSP00000326804	9606.ENSP00000231487	0	0	0	0	0.11	0.974	0.9	0.97	0.999
MRPL13	MRPL44	4438233	4434620	9606.ENSP00000306548	9606.ENSP00000258383	0	0	0	0	0.432	0.989	0.9	0.128	0.999
CTNNB1	CDH1	4441426	4434944	9606.ENSP00000344456	9606.ENSP00000261769	0	0	0	0	0.061	0.998	0.9	0.958	0.999
TNNI2	TNNC2	4445617	4443965	9606.ENSP00000371331	9606.ENSP00000361636	0	0	0	0	0.92	0.868	0.9	0.739	0.999
MRPL3	MRPL27	4435531	4433347	9606.ENSP00000264995	9606.ENSP00000225969	0	0	0	0	0.772	0.957	0.9	0.375	0.999
UBC	UBE2K	4449992	4434874	9606.ENSP00000441543	9606.ENSP00000261427	0	0	0	0	0.081	0.971	0.9	0.67	0.999
MRPS16	MRPS5	4444061	4436025	9606.ENSP00000362036	9606.ENSP00000272418	0.05	0	0	0	0.571	0.956	0.9	0.573	0.999
NUP98	NUP107	4439036	4433447	9606.ENSP00000316032	9606.ENSP00000229179	0	0	0	0	0.268	0.991	0.9	0.907	0.999
TNNI2	TNNT3	4445617	4436281	9606.ENSP00000371331	9606.ENSP00000278317	0	0	0	0	0.929	0.454	0.9	0.902	0.999
MRPL36	MRPL27	4449248	4433347	9606.ENSP00000423399	9606.ENSP00000225969	0	0	0	0	0.84	0.953	0.9	0.378	0.999
ACTN1	VCL	4446270	4432848	9606.ENSP00000377941	9606.ENSP00000211998	0	0	0	0	0.273	0.974	0.9	0.77	0.999
MRPL46	MRPL13	4438774	4438233	9606.ENSP00000312311	9606.ENSP00000306548	0	0	0	0	0.839	0.943	0.9	0.132	0.999
MRPS15	MRPL27	4444114	4433347	9606.ENSP00000362208	9606.ENSP00000225969	0.156	0	0	0	0.848	0.943	0.9	0.308	0.999
MRPL41	MRPL17	4443748	4436789	9606.ENSP00000360498	9606.ENSP00000288937	0	0	0	0	0.787	0.976	0.9	0	0.999
MAPK8	JUN	4446429	4443699	9606.ENSP00000378974	9606.ENSP00000360266	0	0	0	0	0	0.788	0.9	0.985	0.999
MRPL9	MRPL24	4443200	4442484	9606.ENSP00000357823	9606.ENSP00000354525	0	0	0	0	0.701	0.991	0.9	0.626	0.999
ACTN1	ACTN4	4446270	4434247	9606.ENSP00000377941	9606.ENSP00000252699	0	0	0	0.982	0.107	0.997	0.9	0.725	0.999
HNRNPA2B1	HNRNPL	4441649	4433154	9606.ENSP00000346694	9606.ENSP00000221419	0	0	0	0	0.95	0.791	0.9	0.574	0.999
MRPL19	MRPL32	4446201	4433279	9606.ENSP00000377486	9606.ENSP00000223324	0.295	0	0	0	0.761	0.944	0.9	0.386	0.999
NUP85	NUP107	4433937	4433447	9606.ENSP00000245544	9606.ENSP00000229179	0	0	0	0	0.562	0.994	0.9	0.935	0.999
SNRPD2	SNRPD1	4441252	4437667	9606.ENSP00000342374	9606.ENSP00000300413	0	0	0	0	0.975	0.994	0.9	0.956	0.999
CDC45	CDC6	4448376	4432832	9606.ENSP00000405726	9606.ENSP00000209728	0	0	0	0	0.898	0.124	0.9	0.92	0.999
MRPL13	MRPL16	4438233	4437644	9606.ENSP00000306548	9606.ENSP00000300151	0.093	0	0	0	0.492	0.991	0.9	0.167	0.999
MRPS9	MRPS35	4434635	4432657	9606.ENSP00000258455	9606.ENSP00000081029	0	0	0	0	0.241	0.994	0.9	0.173	0.999
MRPL45	MRPL37	4451899	4442428	9606.ENSP00000484903	9606.ENSP00000354086	0	0	0	0	0.53	0.973	0.9	0.452	0.999
HNRNPA1	HNRNPL	4441190	4433154	9606.ENSP00000341826	9606.ENSP00000221419	0	0	0	0	0.951	0.773	0.9	0.839	0.999
DAP3	MRPS5	4443086	4436025	9606.ENSP00000357320	9606.ENSP00000272418	0	0	0	0	0.695	0.993	0.9	0.445	0.999
CDC5L	SNRPD3	4443756	4432879	9606.ENSP00000360532	9606.ENSP00000215829	0	0	0	0	0.107	0.998	0.9	0.421	0.999
SNRNP70	SRSF1	4451051	4434667	9606.ENSP00000472998	9606.ENSP00000258962	0	0	0	0	0.933	0.601	0.9	0.787	0.999
MRPL2	MRPS7	4445791	4433935	9606.ENSP00000373404	9606.ENSP00000245539	0.167	0	0	0	0.592	0.988	0.9	0.415	0.999
CCNB2	CDK2	4436767	4435732	9606.ENSP00000288207	9606.ENSP00000266970	0	0	0	0	0.459	0.995	0.9	0.689	0.999
NUP98	NUP85	4439036	4433937	9606.ENSP00000316032	9606.ENSP00000245544	0	0	0	0	0.117	0.988	0.9	0.869	0.999
DAP3	MRPS35	4443086	4432657	9606.ENSP00000357320	9606.ENSP00000081029	0	0	0	0	0.213	0.998	0.9	0	0.999
PRKAA1	PRKAB2	4441594	4434342	9606.ENSP00000346148	9606.ENSP00000254101	0	0	0	0	0.064	0.963	0.9	0.794	0.999
MRPL17	MRPS7	4436789	4433935	9606.ENSP00000288937	9606.ENSP00000245539	0.219	0	0	0	0.725	0.94	0.9	0.43	0.999
PTBP1	HNRNPA2B1	4441922	4441649	9606.ENSP00000349428	9606.ENSP00000346694	0	0	0	0	0.949	0.818	0.9	0.704	0.999
MRPS16	MRPL21	4444061	4442495	9606.ENSP00000362036	9606.ENSP00000354580	0.287	0	0	0	0.728	0.944	0.9	0.531	0.999
CDK1	CCNB1	4446389	4434484	9606.ENSP00000378699	9606.ENSP00000256442	0	0	0	0	0.969	0.999	0.9	0.983	0.999
YAP1	TEAD4	4451342	4442300	9606.ENSP00000478927	9606.ENSP00000352926	0	0	0	0	0.176	0.959	0.9	0.873	0.999
MRPL43	MRPL17	4440999	4436789	9606.ENSP00000339844	9606.ENSP00000288937	0	0	0	0	0.851	0.943	0.9	0	0.999
MRPS2	PTCD3	4443812	4434370	9606.ENSP00000360850	9606.ENSP00000254630	0	0	0	0	0.105	0.995	0.9	0.414	0.999
HNRNPH1	HNRNPM	4441896	4439758	9606.ENSP00000349168	9606.ENSP00000325376	0	0	0	0	0.957	0.52	0.9	0.653	0.999
CDK2	CCNE1	4435732	4435118	9606.ENSP00000266970	9606.ENSP00000262643	0	0	0	0	0.162	0.999	0.9	0.928	0.999
MRPL22	MRPL16	4449572	4437644	9606.ENSP00000431040	9606.ENSP00000300151	0.074	0	0	0	0.401	0.99	0.9	0.213	0.999
NUP205	NUP155	4436653	4433538	9606.ENSP00000285968	9606.ENSP00000231498	0	0	0	0	0.872	0.808	0.9	0.894	0.999
HNRNPK	HNRNPL	4444702	4433154	9606.ENSP00000365439	9606.ENSP00000221419	0	0	0	0	0.958	0.506	0.9	0.594	0.999
MRPL47	MRPL27	4448914	4433347	9606.ENSP00000417602	9606.ENSP00000225969	0	0	0	0	0.725	0.983	0.9	0.344	0.999
FZR1	CCNB1	4446371	4434484	9606.ENSP00000378529	9606.ENSP00000256442	0	0	0	0	0.461	0.997	0.9	0.639	0.999
MRPL19	MRPL1	4446201	4438965	9606.ENSP00000377486	9606.ENSP00000315017	0.206	0	0	0	0.751	0.968	0.9	0.563	0.999
