Entry,Entry name,Protein names,Gene names,Organism,Cross-reference (DrugBank)
H7BZU9,H7BZU9_HUMAN,"39S ribosomal protein L32, mitochondrial (Fragment)",MRPL32,Homo sapiens (Human),
Q9BYC8,RM32_HUMAN,"39S ribosomal protein L32, mitochondrial (L32mt) (MRP-L32) (Mitochondrial large ribosomal subunit protein bL32m)",MRPL32 HSPC283,Homo sapiens (Human),
A0A0A0MRF4,A0A0A0MRF4_HUMAN,"39S ribosomal protein L19, mitochondrial",MRPL19,Homo sapiens (Human),
H7C2J0,H7C2J0_HUMAN,"39S ribosomal protein L19, mitochondrial (Fragment)",MRPL19,Homo sapiens (Human),
S4R3W9,S4R3W9_HUMAN,"39S ribosomal protein L19, mitochondrial (Fragment)",MRPL19,Homo sapiens (Human),
S4R455,S4R455_HUMAN,"39S ribosomal protein L19, mitochondrial (Fragment)",MRPL19,Homo sapiens (Human),
A0A024R473,A0A024R473_HUMAN,"Mitochondrial ribosomal protein L44, isoform CRA_a",MRPL44 hCG_20060,Homo sapiens (Human),
Q9H9J2,RM44_HUMAN,"39S ribosomal protein L44, mitochondrial (L44mt) (MRP-L44) (EC 3.1.26.-) (Mitochondrial large ribosomal subunit protein mL44)",MRPL44,Homo sapiens (Human),
E9PKV2,E9PKV2_HUMAN,"39S ribosomal protein L17, mitochondrial (Fragment)",MRPL17,Homo sapiens (Human),
Q9NRX2,RM17_HUMAN,"39S ribosomal protein L17, mitochondrial (L17mt) (MRP-L17) (LYST-interacting protein 2) (Mitochondrial large ribosomal subunit protein bL17m)",MRPL17 LIP2,Homo sapiens (Human),
A8K9D2,A8K9D2_HUMAN,"Mitochondrial ribosomal protein L18, isoform CRA_b (cDNA FLJ76688, highly similar to Homo sapiens HSPC071 mRNA)",MRPL18 hCG_34030,Homo sapiens (Human),
Q9H0U6,RM18_HUMAN,"39S ribosomal protein L18, mitochondrial (L18mt) (MRP-L18) (Mitochondrial large ribosomal subunit protein uL18m)",MRPL18 HSPC071,Homo sapiens (Human),
E5RFI2,E5RFI2_HUMAN,"39S ribosomal protein L13, mitochondrial",MRPL13,Homo sapiens (Human),
E5RJI7,E5RJI7_HUMAN,"39S ribosomal protein L13, mitochondrial (Fragment)",MRPL13,Homo sapiens (Human),
H0YAX3,H0YAX3_HUMAN,"39S ribosomal protein L13, mitochondrial (Fragment)",MRPL13,Homo sapiens (Human),
Q9BYD1,RM13_HUMAN,"39S ribosomal protein L13, mitochondrial (L13mt) (MRP-L13) (Mitochondrial large ribosomal subunit protein uL13m)",MRPL13,Homo sapiens (Human),
M0QX04,M0QX04_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa (Fragment),SNRNP70,Homo sapiens (Human),
M0QYR1,M0QYR1_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa (Fragment),SNRNP70,Homo sapiens (Human),
P08621,RU17_HUMAN,U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70),SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1,Homo sapiens (Human),
Q9UFS1,Q9UFS1_HUMAN,SNRNP70 protein,DKFZp434N041 SNRNP70,Homo sapiens (Human),
J3QLI9,J3QLI9_HUMAN,Small nuclear ribonucleoprotein Sm D1,SNRPD1,Homo sapiens (Human),
J3QLR7,J3QLR7_HUMAN,Small nuclear ribonucleoprotein Sm D1,SNRPD1,Homo sapiens (Human),
P62314,SMD1_HUMAN,Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1),SNRPD1,Homo sapiens (Human),
Q7Z5A3,Q7Z5A3_HUMAN,Small nuclear ribonucleoprotein Sm D1 (snRNP core protein D1),SNRPD1,Homo sapiens (Human),
H7BZC4,H7BZC4_HUMAN,"28S ribosomal protein S9, mitochondrial (Fragment)",MRPS9,Homo sapiens (Human),
P82933,RT09_HUMAN,"28S ribosomal protein S9, mitochondrial (MRP-S9) (S9mt) (Mitochondrial small ribosomal subunit protein uS9m)",MRPS9 RPMS9,Homo sapiens (Human),
Q86WV4,Q86WV4_HUMAN,MRPS9 protein (Fragment),MRPS9,Homo sapiens (Human),
A0A024QZP7,A0A024QZP7_HUMAN,"Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a (Cyclin-dependent kinase 1)",CDK1 CDC2 hCG_40242,Homo sapiens (Human),
A0A087WZZ9,A0A087WZZ9_HUMAN,Cyclin-dependent kinase 1,CDK1,Homo sapiens (Human),
E5RIU6,E5RIU6_HUMAN,Cyclin-dependent kinase 1 (Fragment),CDK1,Homo sapiens (Human),
P06493,CDK1_HUMAN,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),CDK1 CDC2 CDC28A CDKN1 P34CDC2,Homo sapiens (Human),DB04014;DB05037;DB03496;DB02950;DB02052;DB02116;DB03428;
P20248,CCNA2_HUMAN,Cyclin-A2 (Cyclin-A) (Cyclin A),CCNA2 CCN1 CCNA,Homo sapiens (Human),DB08463;DB07137;DB06948;DB08248;DB08309;DB08241;DB08572;DB07203;DB08233;DB02407;DB02833;DB06944;DB07126;
C9JVQ0,C9JVQ0_HUMAN,Small nuclear ribonucleoprotein G (snRNP-G),SNRPG,Homo sapiens (Human),
F5H013,F5H013_HUMAN,Small nuclear ribonucleoprotein G (snRNP-G),SNRPG,Homo sapiens (Human),
P62308,RUXG_HUMAN,Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG),SNRPG PBSCG,Homo sapiens (Human),
Q49AN9,Q49AN9_HUMAN,Small nuclear ribonucleoprotein G (snRNP-G),SNRPG,Homo sapiens (Human),
C9J911,C9J911_HUMAN,Cell division control protein 45 homolog (Fragment),CDC45,Homo sapiens (Human),
C9K087,C9K087_HUMAN,Cell division control protein 45 homolog (Fragment),CDC45,Homo sapiens (Human),
H7BZ91,H7BZ91_HUMAN,Cell division control protein 45 homolog (Fragment),CDC45,Homo sapiens (Human),
O75419,CDC45_HUMAN,Cell division control protein 45 homolog (PORC-PI-1),CDC45 CDC45L CDC45L2 UNQ374/PRO710,Homo sapiens (Human),
B8ZZ80,B8ZZ80_HUMAN,Origin recognition complex subunit 2 (Fragment),ORC2,Homo sapiens (Human),
C9JK08,C9JK08_HUMAN,Origin recognition complex subunit 2 (Fragment),ORC2,Homo sapiens (Human),
Q13416,ORC2_HUMAN,Origin recognition complex subunit 2,ORC2 ORC2L,Homo sapiens (Human),
A0A024R7U6,A0A024R7U6_HUMAN,DNA helicase (EC 3.6.4.12),MCM4 hCG_19799,Homo sapiens (Human),
A0A3B3IRR8,A0A3B3IRR8_HUMAN,DNA replication licensing factor MCM4 (Fragment),MCM4,Homo sapiens (Human),
A0A3B3IS57,A0A3B3IS57_HUMAN,DNA helicase (EC 3.6.4.12),MCM4,Homo sapiens (Human),
A0A3B3IS88,A0A3B3IS88_HUMAN,DNA replication licensing factor MCM4,MCM4,Homo sapiens (Human),
A0A3B3ISC1,A0A3B3ISC1_HUMAN,DNA replication licensing factor MCM4 (Fragment),MCM4,Homo sapiens (Human),
A0A3B3IT92,A0A3B3IT92_HUMAN,DNA helicase (EC 3.6.4.12),MCM4,Homo sapiens (Human),
A0A3B3ITP6,A0A3B3ITP6_HUMAN,DNA helicase (EC 3.6.4.12),MCM4,Homo sapiens (Human),
A0A3B3IU45,A0A3B3IU45_HUMAN,DNA helicase (EC 3.6.4.12),MCM4,Homo sapiens (Human),
A4FS09,A4FS09_HUMAN,Minichromosome maintenance protein 4 (EC 3.6.1.15) (Fragment),MCM4,Homo sapiens (Human),
E5RFR3,E5RFR3_HUMAN,DNA replication licensing factor MCM4 (Fragment),MCM4,Homo sapiens (Human),
E5RG31,E5RG31_HUMAN,DNA replication licensing factor MCM4 (Fragment),MCM4,Homo sapiens (Human),
E5RG53,E5RG53_HUMAN,DNA replication licensing factor MCM4,MCM4,Homo sapiens (Human),
E5RHP5,E5RHP5_HUMAN,DNA replication licensing factor MCM4 (Fragment),MCM4,Homo sapiens (Human),
P33991,MCM4_HUMAN,DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21),MCM4 CDC21,Homo sapiens (Human),
A0A087X1N7,A0A087X1N7_HUMAN,Nebulin,NEB,Homo sapiens (Human),
E2QBU3,E2QBU3_HUMAN,NEB protein (Fragment),NEB,Homo sapiens (Human),
H0Y3P5,H0Y3P5_HUMAN,Nebulin (Fragment),NEB,Homo sapiens (Human),
H0Y786,H0Y786_HUMAN,Nebulin (Fragment),NEB,Homo sapiens (Human),
H7BZD5,H7BZD5_HUMAN,Nebulin (Fragment),NEB,Homo sapiens (Human),
H7C2B3,H7C2B3_HUMAN,Nebulin (Fragment),NEB,Homo sapiens (Human),
H7C2D0,H7C2D0_HUMAN,Nebulin (Fragment),NEB,Homo sapiens (Human),
H7C2Z5,H7C2Z5_HUMAN,Nebulin (Fragment),NEB,Homo sapiens (Human),
P20929,NEBU_HUMAN,Nebulin,NEB,Homo sapiens (Human),
Q05C45,Q05C45_HUMAN,NEB protein (Fragment),NEB,Homo sapiens (Human),
Q6P516,Q6P516_HUMAN,NEB protein (Fragment),NEB,Homo sapiens (Human),
Q6PJ54,Q6PJ54_HUMAN,NEB protein (Fragment),NEB,Homo sapiens (Human),
Q7Z2R0,Q7Z2R0_HUMAN,NEB protein (Fragment),NEB,Homo sapiens (Human),
Q86TG3,Q86TG3_HUMAN,NEB protein (Fragment),NEB,Homo sapiens (Human),
Q9Y5Z1,Q9Y5Z1_HUMAN,Nebulin (Fragment),NEB,Homo sapiens (Human),
A0A0A0MRA3,A0A0A0MRA3_HUMAN,Titin,TTN,Homo sapiens (Human),
A0A0A0MTS7,A0A0A0MTS7_HUMAN,Titin,TTN,Homo sapiens (Human),
A0A0C4DG59,A0A0C4DG59_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
A0A0U1RRH3,A0A0U1RRH3_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
A0A1B0GXE3,A0A1B0GXE3_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
B1A7R7,B1A7R7_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
C0JYZ2,C0JYZ2_HUMAN,Titin,TTN,Homo sapiens (Human),
C9JQJ2,C9JQJ2_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
D3DPF9,D3DPF9_HUMAN,"Titin, isoform CRA_b",TTN hCG_2006859,Homo sapiens (Human),
D3DPG0,D3DPG0_HUMAN,"Titin, isoform CRA_a",TTN hCG_2006859,Homo sapiens (Human),
H0Y4J7,H0Y4J7_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
H7C0U7,H7C0U7_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
H7C195,H7C195_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
H7C1P9,H7C1P9_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
Q71S18,Q71S18_HUMAN,Titin (Fragment),TTN,Homo sapiens (Human),
Q8WZ42,TITIN_HUMAN,Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14),TTN,Homo sapiens (Human),
Q8WZ50,Q8WZ50_HUMAN,Titin fetal Isoform (Fragment),TTN,Homo sapiens (Human),
Q13415,ORC1_HUMAN,Origin recognition complex subunit 1 (Replication control protein 1),ORC1 ORC1L PARC1,Homo sapiens (Human),
Q9Y619,ORNT1_HUMAN,Mitochondrial ornithine transporter 1 (Solute carrier family 25 member 15),SLC25A15 ORC1 ORNT1 SP1855,Homo sapiens (Human),DB00129;
A0A0S2Z441,A0A0S2Z441_HUMAN,DNA replication licensing factor MCM7 (EC 3.6.4.12),MCM7,Homo sapiens (Human),
A0A0S2Z4A5,A0A0S2Z4A5_HUMAN,DNA replication licensing factor MCM7 (EC 3.6.4.12) (Fragment),MCM7,Homo sapiens (Human),
B2RBA6,B2RBA6_HUMAN,DNA replication licensing factor MCM7 (EC 3.6.4.12),MCM7,Homo sapiens (Human),
B3KUD7,B3KUD7_HUMAN,DNA replication licensing factor MCM7 (EC 3.6.4.12),MCM7,Homo sapiens (Human),
B4DDF5,B4DDF5_HUMAN,DNA replication licensing factor MCM7 (EC 3.6.4.12),MCM7,Homo sapiens (Human),
C6EMX8,C6EMX8_HUMAN,DNA replication licensing factor MCM7 (EC 3.6.4.12),MCM7,Homo sapiens (Human),
C9J8M6,C9J8M6_HUMAN,DNA replication licensing factor MCM7 (EC 3.6.4.12) (Fragment),MCM7,Homo sapiens (Human),
H0YH42,H0YH42_HUMAN,DNA replication licensing factor MCM7 (Fragment),MCM7,Homo sapiens (Human),
Q9H4N9,Q9H4N9_HUMAN,DNA replication licensing factor MCM7 (EC 3.6.4.12),MCM7,Homo sapiens (Human),
A0PJ79,A0PJ79_HUMAN,MRPL1 protein (Fragment),MRPL1,Homo sapiens (Human),
H0Y8N7,H0Y8N7_HUMAN,"39S ribosomal protein L1, mitochondrial (Fragment)",MRPL1,Homo sapiens (Human),
Q9BYD6,RM01_HUMAN,"39S ribosomal protein L1, mitochondrial (L1mt) (MRP-L1) (Mitochondrial large ribosomal subunit protein uL1m)",MRPL1 BM-022,Homo sapiens (Human),
E9PQB6,E9PQB6_HUMAN,"39S ribosomal protein L11, mitochondrial",MRPL11,Homo sapiens (Human),
H0YCD5,H0YCD5_HUMAN,"39S ribosomal protein L11, mitochondrial (Fragment)",MRPL11,Homo sapiens (Human),
Q9Y3B7,RM11_HUMAN,"39S ribosomal protein L11, mitochondrial (L11mt) (MRP-L11) (Mitochondrial large ribosomal subunit protein uL11m)",MRPL11 CGI-113,Homo sapiens (Human),
A0A024R6W7,A0A024R6W7_HUMAN,"E2F transcription factor 4, p107/p130-binding, isoform CRA_b",E2F4 hCG_2025836,Homo sapiens (Human),
H3BMP3,H3BMP3_HUMAN,Transcription factor E2F4,E2F4,Homo sapiens (Human),
H3BTM3,H3BTM3_HUMAN,Transcription factor E2F4,E2F4,Homo sapiens (Human),
H3BVE4,H3BVE4_HUMAN,Transcription factor E2F4,E2F4,Homo sapiens (Human),
I3L1B6,I3L1B6_HUMAN,Transcription factor E2F4 (Fragment),E2F4,Homo sapiens (Human),
Q16254,E2F4_HUMAN,Transcription factor E2F4 (E2F-4),E2F4,Homo sapiens (Human),
E9PNB6,E9PNB6_HUMAN,Retinoblastoma-like protein 1,RBL1,Homo sapiens (Human),
H0YE05,H0YE05_HUMAN,Retinoblastoma-like protein 1 (Fragment),RBL1,Homo sapiens (Human),
P28749,RBL1_HUMAN,Retinoblastoma-like protein 1 (107 kDa retinoblastoma-associated protein) (p107) (pRb1),RBL1,Homo sapiens (Human),
Q8WVU8,Q8WVU8_HUMAN,RBL1 protein (Fragment),RBL1,Homo sapiens (Human),
A0A087X0X3,A0A087X0X3_HUMAN,Heterogeneous nuclear ribonucleoprotein M,HNRNPM,Homo sapiens (Human),
M0QY96,M0QY96_HUMAN,Heterogeneous nuclear ribonucleoprotein M (Fragment),HNRNPM,Homo sapiens (Human),
M0QYL3,M0QYL3_HUMAN,Heterogeneous nuclear ribonucleoprotein M (Fragment),HNRNPM,Homo sapiens (Human),
M0QYQ7,M0QYQ7_HUMAN,Heterogeneous nuclear ribonucleoprotein M (Fragment),HNRNPM,Homo sapiens (Human),
M0QZM1,M0QZM1_HUMAN,Heterogeneous nuclear ribonucleoprotein M (Fragment),HNRNPM,Homo sapiens (Human),
M0R019,M0R019_HUMAN,Heterogeneous nuclear ribonucleoprotein M (Fragment),HNRNPM,Homo sapiens (Human),
M0R0N3,M0R0N3_HUMAN,Heterogeneous nuclear ribonucleoprotein M (Fragment),HNRNPM,Homo sapiens (Human),
M0R0Y6,M0R0Y6_HUMAN,Heterogeneous nuclear ribonucleoprotein M,HNRNPM,Homo sapiens (Human),
M0R2I7,M0R2I7_HUMAN,Heterogeneous nuclear ribonucleoprotein M (Fragment),HNRNPM,Homo sapiens (Human),
M0R2T0,M0R2T0_HUMAN,Heterogeneous nuclear ribonucleoprotein M (Fragment),HNRNPM,Homo sapiens (Human),
P52272,HNRPM_HUMAN,Heterogeneous nuclear ribonucleoprotein M (hnRNP M),HNRNPM HNRPM NAGR1,Homo sapiens (Human),
B5BU25,B5BU25_HUMAN,U2 snRNP auxiliary factor large subunit,U2AF2,Homo sapiens (Human),
K7ELP8,K7ELP8_HUMAN,Splicing factor U2AF 65 kDa subunit (Fragment),U2AF2,Homo sapiens (Human),
K7ENG2,K7ENG2_HUMAN,U2 snRNP auxiliary factor large subunit,U2AF2,Homo sapiens (Human),
M0QYQ9,M0QYQ9_HUMAN,Splicing factor U2AF 65 kDa subunit (Fragment),U2AF2,Homo sapiens (Human),
P26368,U2AF2_HUMAN,Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit),U2AF2 U2AF65,Homo sapiens (Human),
A0A087WT22,A0A087WT22_HUMAN,Cellular tumor antigen p53,TP53,Homo sapiens (Human),
A0A087WXZ1,A0A087WXZ1_HUMAN,Cellular tumor antigen p53,TP53,Homo sapiens (Human),
A0A087WZU8,A0A087WZU8_HUMAN,Cellular tumor antigen p53,TP53,Homo sapiens (Human),
A0A087X1Q1,A0A087X1Q1_HUMAN,Cellular tumor antigen p53,TP53,Homo sapiens (Human),
A0A0A0U7X4,A0A0A0U7X4_HUMAN,Tumor suppressor p53 (Fragment),TP53,Homo sapiens (Human),
A0A0M4B4Y9,A0A0M4B4Y9_HUMAN,Tumor supressor p53 (Fragment),TP53,Homo sapiens (Human),
A0A0R9RRX7,A0A0R9RRX7_HUMAN,Tumor protein p53 (Fragment),TP53,Homo sapiens (Human),
A0A0U1RQC9,A0A0U1RQC9_HUMAN,Cellular tumor antigen p53,TP53,Homo sapiens (Human),
A0A1B1PFC7,A0A1B1PFC7_HUMAN,p53 (Fragment),TP53,Homo sapiens (Human),
A0A1B1PFD4,A0A1B1PFD4_HUMAN,p53 (Fragment),TP53,Homo sapiens (Human),
A0A1D8V7A7,A0A1D8V7A7_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A218MJB0,A0A218MJB0_HUMAN,Cellular tumor antigen p53 (Fragment),TP53,Homo sapiens (Human),
A0A218MJC8,A0A218MJC8_HUMAN,Cellular tumor antigen p53 (Fragment),TP53,Homo sapiens (Human),
A0A218MJD5,A0A218MJD5_HUMAN,Cellular tumor antigen p53 (Fragment),TP53,Homo sapiens (Human),
A0A218MJD9,A0A218MJD9_HUMAN,Cellular tumor antigen p53 (Fragment),TP53,Homo sapiens (Human),
A0A218MJE1,A0A218MJE1_HUMAN,Cellular tumor antigen p53 (Fragment),TP53,Homo sapiens (Human),
A0A218MJE5,A0A218MJE5_HUMAN,Cellular tumor antigen p53 (Fragment),TP53,Homo sapiens (Human),
A0A218MJF3,A0A218MJF3_HUMAN,Cellular tumor antigen p53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLN8,A0A346XLN8_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLN9,A0A346XLN9_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLP0,A0A346XLP0_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLP1,A0A346XLP1_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLP2,A0A346XLP2_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLP3,A0A346XLP3_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLP5,A0A346XLP5_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLP6,A0A346XLP6_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLP7,A0A346XLP7_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLP8,A0A346XLP8_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLP9,A0A346XLP9_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLQ1,A0A346XLQ1_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLR1,A0A346XLR1_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLR9,A0A346XLR9_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLS5,A0A346XLS5_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLS6,A0A346XLS6_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLS7,A0A346XLS7_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLS8,A0A346XLS8_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLS9,A0A346XLS9_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLT0,A0A346XLT0_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLT1,A0A346XLT1_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLT2,A0A346XLT2_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLT3,A0A346XLT3_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLT4,A0A346XLT4_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLU1,A0A346XLU1_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
A0A346XLW0,A0A346XLW0_HUMAN,TP53 (Fragment),TP53,Homo sapiens (Human),
